n_train,p,interm_lvl,shape_fixed,net_structure,hidden_fct,p_drop,intermediate_q_feature,L2_pen,shape_penalty,Train_loss,Valid_loss,learning_rate,n_epochs,lr_decay,patience_decay,min_lr,patience_stop,orthogonal_gpd
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,5e-04,0,3.98159753531218,4.00888222455978,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,0.001,0,3.91266959160566,3.91147196292877,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,0.001,0,3.90246812999249,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,0.001,0,3.90361206233501,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,0.001,0,3.9207590892911,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,0.001,0,3.89525176584721,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,0.001,0,3.97965130209923,4.00790309906006,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,0.001,0,3.99818650633097,3.94009298086166,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,0.001,0,3.94216276705265,3.93125838041306,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,0.001,0,3.93035441637039,3.9145096540451,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,0.001,0,3.91283471882343,3.9055118560791,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,0.001,0,3.92985038459301,3.91402781009674,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,0.001,0,3.92287997156382,3.92150884866714,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,0.001,0,3.91427807509899,3.93434345722198,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,0.001,0,3.96866329759359,3.95994561910629,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,0.001,0,3.96788507699966,4.01241552829742,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,0.001,0,3.96730483323336,3.95681935548782,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,0.001,0,4.01131866872311,3.96991086006165,1e-04,1000,0.4,5,1e-05,20,TRUE
